0.00  1.000000  0.000000  0.000000  8.746900
0.05  0.990033  0.000012  0.002504  2.823112
0.10  0.960530  0.000198  0.010067  2.131967
0.15  0.912663  0.000988  0.022847  1.729845
0.20  0.848329  0.003066  0.041122  1.446854
0.25  0.770059  0.007306  0.065322  1.229764
0.30  0.680909  0.014706  0.096082  1.054872
0.35  0.584322  0.026300  0.134326  0.909549
0.40  0.483974  0.043064  0.181431  0.786267
0.45  0.383613  0.065826  0.239530  0.680185
0.50  0.286900  0.095174  0.312155  0.588012
0.55  0.197251  0.131380  0.405819  0.507415
0.60  0.117700  0.174337  0.534905  0.436692
0.65  0.050775  0.223518  0.745089  0.374566
0.70 -0.001589  0.277961  1.611153  0.320069
0.75 -0.038117  0.336276  0.816777  0.272455
0.80 -0.058221  0.396685  0.710877  0.231153
0.85 -0.062001  0.457079  0.695150  0.195725
0.90 -0.050207  0.515108  0.747900  0.165844
0.95 -0.024172  0.568285  0.930636  0.141283
1.00  0.014273  0.614101  1.062354  0.121899
1.05  0.062913  0.650160  0.691499  0.107634
1.10  0.119274  0.674298  0.531582  0.098521
1.15  0.180750  0.684715  0.427660  0.094688
1.20  0.244735  0.680079  0.351894  0.096387
1.25  0.308750  0.659621  0.293806  0.104022
1.30  0.370548  0.623204  0.248193  0.118220
1.35  0.428209  0.571357  0.212036  0.139935
1.40  0.480208  0.505287  0.183384  0.170657
1.45  0.525457  0.426853  0.160872  0.212829
1.50  0.563323  0.338505  0.143476  0.270804
1.55  0.593612  0.243199  0.130382  0.353469
1.60  0.616537  0.144283  0.120909  0.483995
1.65  0.632660  0.045356  0.114455  0.773305
1.70  0.642811 -0.049880  0.110476  0.749532
1.75  0.648006 -0.137782  0.108464  0.495521
1.80  0.649346 -0.214923  0.107947  0.384369
1.85  0.647928 -0.278250  0.108494  0.319809
1.90  0.644752 -0.325219  0.109722  0.280814
1.95  0.640645 -0.353910  0.111320  0.259678
2.00  0.636197 -0.363119  0.113062  0.253256
2.05  0.631723 -0.352412  0.114826  0.260738
2.10  0.627242 -0.322151  0.116606  0.283184
2.15  0.622481 -0.273473  0.118511  0.324138
2.20  0.616905 -0.208247  0.120760  0.392257
2.25  0.609764 -0.128991  0.123671  0.512004
2.30  0.600162 -0.038754  0.127639  0.812628
2.35  0.587137  0.059009  0.133124  0.707517
2.40  0.569750  0.160597  0.140639  0.457214
2.45  0.547183  0.262222  0.150743  0.334641
2.50  0.518818  0.360170  0.164051  0.255295
2.55  0.484328  0.450960  0.181248  0.199094
2.60  0.443733  0.531489  0.203133  0.158018
2.65  0.397452  0.599152  0.230670  0.128060
2.70  0.346321  0.651943  0.265098  0.106949
2.75  0.291589  0.688521  0.308102  0.093302
2.80  0.234895  0.708242  0.362155  0.086242
2.85  0.178201  0.711167  0.431210  0.085212
2.90  0.123725  0.698023  0.522423  0.089876
2.95  0.073833  0.670145  0.651486  0.100065
3.00  0.030928  0.629389  0.869020  0.115752
3.05 -0.002672  0.578016  1.481219  0.137038
3.10 -0.024864  0.518576  0.923583  0.164167
3.15 -0.033877  0.453767  0.846252  0.197543
3.20 -0.028387  0.386306  0.890454  0.237781
3.25 -0.007607  0.318800  1.219665  0.285798
3.30  0.028640  0.253629  0.888233  0.342971
3.35  0.079883  0.192849  0.631799  0.411462
3.40  0.144983  0.138120  0.482785  0.494909
3.45  0.222162  0.090651  0.376087  0.600184
3.50  0.309053  0.051186  0.293561  0.743075
3.55  0.402781  0.020000  0.227341  0.978002
3.60  0.500075 -0.003058  0.173249  1.447473
3.65  0.597402 -0.018521  0.128791  0.997211
3.70  0.691115 -0.027222  0.092362  0.900931
3.75  0.777609 -0.030211  0.062883  0.874886
3.80  0.853481 -0.028658  0.039608  0.888084
3.85  0.915685 -0.023754  0.022021  0.935001
3.90  0.961670 -0.016623  0.009771  1.024248
3.95  0.989496 -0.008233  0.002640  1.199908
4.00  0.997930  0.000667  0.000518  1.828343
4.05  0.986503  0.009595  0.003397  1.161625
4.10  0.955537  0.018367  0.011370  0.999295
4.15  0.906136  0.027095  0.024641  0.902100
4.20  0.840139  0.036167  0.043547  0.829904
4.25  0.760039  0.046204  0.068596  0.768672
4.30  0.668879  0.058001  0.100538  0.711825
4.35  0.570116  0.072445  0.140479  0.656233
4.40  0.467471  0.090432  0.190105  0.600788
4.45  0.364764  0.112776  0.252126  0.545588
4.50  0.265757  0.140116  0.331293  0.491321
4.55  0.173987  0.172838  0.437193  0.438850
4.60  0.092624  0.211005  0.594803  0.388968
4.65  0.024340  0.254309  0.928911  0.342301
4.70 -0.028788  0.302042  0.886945  0.299297
4.75 -0.065355  0.353093  0.681979  0.260256
4.80 -0.084664  0.405973  0.617265  0.225367
4.85 -0.086734  0.458862  0.611227  0.194751
4.90 -0.072270  0.509684  0.656837  0.168491
4.95 -0.042606  0.556198  0.788943  0.146658
5.00  0.000384  0.596109  1.966369  0.129333
5.05  0.054390  0.627185  0.727892  0.116628
5.10  0.116799  0.647384  0.536825  0.108704
5.15  0.184822  0.654970  0.422090  0.105792
5.20  0.255636  0.648628  0.341000  0.108224
5.25  0.326513  0.627556  0.279821  0.116481
5.30  0.394944  0.591537  0.232253  0.131258
5.35  0.458737  0.540986  0.194820  0.153590
5.40  0.516104  0.476968  0.165362  0.185076
5.45  0.565714  0.401179  0.142417  0.228337
5.50  0.606717  0.315900  0.124923  0.288083
5.55  0.638752  0.223917  0.112060  0.374120
5.60  0.661913  0.128419  0.103155  0.513114
5.65  0.676698  0.032867  0.097633  0.853822
5.70  0.683943 -0.059153  0.094970  0.706907
5.75  0.684731 -0.144082  0.094682  0.484344
5.80  0.680295 -0.218546  0.096307  0.380189
5.85  0.671921 -0.279514  0.099404  0.318676
5.90  0.660852 -0.324430  0.103556  0.281422
5.95  0.648198 -0.351339  0.108390  0.261501
6.00  0.634865 -0.358982  0.113586  0.256121
6.05  0.621497 -0.346854  0.118906  0.264713
6.10  0.608446 -0.315240  0.124212  0.288605
6.15  0.595762 -0.265205  0.129479  0.331813
6.20  0.583204 -0.198554  0.134805  0.404173
6.25  0.570280 -0.117756  0.140407  0.534785
6.30  0.556300 -0.025838  0.146612  0.913980
6.35  0.540453  0.073747  0.153837  0.651780
6.40  0.521885  0.177264  0.162577  0.432528
6.45  0.499795  0.280868  0.173389  0.317468
6.50  0.473518  0.380757  0.186891  0.241399
6.55  0.442615  0.473343  0.203764  0.186984
6.60  0.406935  0.555398  0.224775  0.147018
6.65  0.366679  0.624182  0.250817  0.117828
6.70  0.322426  0.677556  0.282970  0.097316
6.75  0.275144  0.714051  0.322615  0.084200
6.80  0.226173  0.732918  0.371614  0.077680
6.85  0.177184  0.734135  0.432642  0.077266
6.90  0.130110  0.718383  0.509844  0.082688
6.95  0.087062  0.686991  0.610283  0.093858
7.00  0.050223  0.641852  0.747819  0.110849
7.05  0.021734  0.585313  0.957215  0.133902
7.10  0.003573  0.520051  1.408603  0.163457
7.15 -0.002565  0.448938  1.491415  0.200217
7.20  0.004624  0.374900  1.344112  0.245274
7.25  0.025958  0.300778  0.912817  0.300345
7.30  0.061691  0.229210  0.696405  0.368280
7.35  0.111465  0.162513  0.548512  0.454249
7.40  0.174290  0.102606  0.436759  0.569216
7.45  0.248556  0.050937  0.348022  0.744290
7.50  0.332074  0.008461  0.275600  1.193077
7.55  0.422147 -0.024376  0.215600  0.928543
7.60  0.515677 -0.047606  0.165569  0.761201
7.65  0.609282 -0.061697  0.123869  0.696379
7.70  0.699442 -0.067484  0.089368  0.673968
7.75  0.782651 -0.066077  0.061267  0.679232
7.80  0.855572 -0.058775  0.038996  0.708510
7.85  0.915191 -0.046953  0.022156  0.764651
7.90  0.958955 -0.031972  0.010478  0.860723
7.95  0.984898 -0.015080  0.003804  1.048591
8.00  0.991734  0.002662  0.002075  1.482139
8.05  0.978926  0.020447  0.005325  0.972480
8.10  0.946720  0.037756  0.013688  0.819154
8.15  0.896141  0.054379  0.027414  0.727945
