0.00  1.000000  0.000000 -0.000000  18.368400
0.05  0.995008 -0.004992  0.002502  2.649992
0.10  0.980133 -0.019867  0.010034  1.959347
0.15  0.955671 -0.044329  0.022671  1.558058
0.20  0.922111 -0.077889  0.040545  1.276233
0.25  0.880122 -0.119878  0.063847  1.060642
0.30  0.830544 -0.169456  0.092837  0.887581
0.35  0.774366 -0.225634  0.127855  0.744421
0.40  0.712710 -0.287290  0.169340  0.623631
0.45  0.646806 -0.353194  0.217854  0.520370
0.50  0.577972 -0.422028  0.274115  0.431342
0.55  0.507580 -0.492420  0.339050  0.354212
0.60  0.437038 -0.562962  0.413868  0.287271
0.65  0.367752 -0.632248  0.500173  0.229237
0.70  0.301107 -0.698893  0.600145  0.179129
0.75  0.238433 -0.761567  0.716833  0.136189
0.80  0.180982 -0.819018  0.854679  0.099825
0.85  0.129900 -0.870100  1.020494  0.069574
0.90  0.086209 -0.913791  1.225493  0.045076
0.95  0.050779 -0.949221  1.490139  0.026057
1.00  0.024318 -0.975682  1.858260  0.012310
1.05  0.007356 -0.992644  2.456126  0.003692
1.10  0.000230 -0.999770  4.189040  0.000115
1.15  0.003083 -0.996917  2.890999  0.001544
1.20  0.015857 -0.984143  2.072071  0.007992
1.25  0.038298 -0.961702  1.631175  0.019525
1.30  0.069958 -0.930042  1.329929  0.036263
1.35  0.110205 -0.889795  1.102709  0.058382
1.40  0.158234 -0.841766  0.921841  0.086127
1.45  0.213087 -0.786913  0.773027  0.119819
1.50  0.273669 -0.726331  0.647918  0.159875
1.55  0.338770 -0.661230  0.541217  0.206827
1.60  0.407090 -0.592910  0.449360  0.261357
1.65  0.477266 -0.522734  0.369841  0.324341
1.70  0.547895 -0.452105  0.300836  0.396920
1.75  0.617568 -0.382432  0.240983  0.480602
1.80  0.684894 -0.315106  0.189246  0.577422
1.85  0.748527 -0.251473  0.144824  0.690211
1.90  0.807199 -0.192801  0.107093  0.823048
1.95  0.859737 -0.140263  0.075565  0.982117
2.00  0.905092 -0.094908  0.049859  1.177423
2.05  0.942359 -0.057641  0.029685  1.426756
2.10  0.970793 -0.029207  0.014821  1.766670
2.15  0.989827 -0.010173  0.005113  2.294005
2.20  0.999081 -0.000919  0.000460  3.496008
2.25  0.998370 -0.001630  0.000816  3.209498
2.30  0.987708 -0.012292  0.006184  2.199396
2.35  0.967308 -0.032692  0.016619  1.710313
2.40  0.937578 -0.062422  0.032228  1.386916
2.45  0.899110 -0.100890  0.053175  1.146863
2.50  0.852674 -0.147326  0.079689  0.957554
2.55  0.799196 -0.200804  0.112075  0.802713
2.60  0.739744 -0.260256  0.150726  0.673045
2.65  0.675505 -0.324495  0.196147  0.562743
2.70  0.607762 -0.392238  0.248986  0.467943
2.75  0.537867 -0.462133  0.310072  0.385952
2.80  0.467216 -0.532784  0.380481  0.314820
2.85  0.397220 -0.602780  0.461632  0.253102
2.90  0.329276 -0.670724  0.555429  0.199699
2.95  0.264741 -0.735259  0.664502  0.153766
3.00  0.204903 -0.795097  0.792610  0.114645
3.05  0.150957 -0.849043  0.945380  0.081823
3.10  0.103980 -0.896020  1.131777  0.054896
3.15  0.064911 -0.935089  1.367370  0.033557
3.20  0.034529 -0.965471  1.682981  0.017570
3.25  0.013441 -0.986559  2.154738  0.006766
3.30  0.002067 -0.997933  3.090735  0.001035
3.35  0.000636 -0.999364  3.679968  0.000318
3.40  0.009176 -0.990824  2.345597  0.004609
3.45  0.027515 -0.972485  1.796505  0.013950
3.50  0.055289 -0.944711  1.447591  0.028438
3.55  0.091942 -0.908058  1.193299  0.048223
3.60  0.136742 -0.863258  0.994828  0.073521
3.65  0.188796 -0.811204  0.833544  0.104618
3.70  0.247063 -0.752937  0.699055  0.141887
3.75  0.310381 -0.689619  0.584977  0.185808
3.80  0.377485 -0.622515  0.487113  0.236994
3.85  0.447035 -0.552965  0.402560  0.296230
3.90  0.517642 -0.482358  0.329236  0.364534
3.95  0.587897 -0.412103  0.265602  0.443241
4.00  0.656397 -0.343603  0.210494  0.534135
4.05  0.721775 -0.278225  0.163021  0.639662
4.10  0.782724 -0.217276  0.122487  0.763294
4.15  0.838029 -0.161971  0.088352  0.910167
4.20  0.886583 -0.113417  0.060190  1.088344
4.25  0.927420 -0.072580  0.037675  1.311530
4.30  0.959722 -0.040278  0.020556  1.605970
4.35  0.982845 -0.017155  0.008652  2.032719
4.40  0.996327 -0.003673  0.001840  2.803321
4.45  0.999899 -0.000101  0.000051  4.598704
4.50  0.993489 -0.006511  0.003266  2.517166
4.55  0.977227 -0.022773  0.011518  1.891087
4.60  0.951436 -0.048564  0.024892  1.512433
4.65  0.916631 -0.083369  0.043525  1.242238
4.70  0.873507 -0.126493  0.067620  1.033785
4.75  0.822926 -0.177074  0.097445  0.865593
4.80  0.765897 -0.234103  0.133354  0.725996
4.85  0.703558 -0.296442  0.175802  0.607953
4.90  0.637156 -0.362844  0.225370  0.506891
4.95  0.568015 -0.431985  0.282804  0.419682
5.00  0.497516 -0.502484  0.349064  0.344095
5.05  0.427066 -0.572934  0.425408  0.278492
5.10  0.358073 -0.641927  0.513509  0.221640
5.15  0.291913 -0.708087  0.615649  0.172594
5.20  0.229909 -0.770091  0.735037  0.130623
5.25  0.173297 -0.826703  0.876375  0.095155
5.30  0.123208 -0.876792  1.046940  0.065743
5.35  0.080643 -0.919357  1.258863  0.042040
